Orgánico:		Mantenimiento, Compostaje, Uso Final

Papeles/Cartón:		Clasificar, Desintegrar, Refinar Pulpa, Crear nuevo producto

Vidrios:		Clasificar, Triturar, Fusión, Modelar

Plásticos:		Clasificar, Triturar, Fusión, Extrusión, Corte

Chatarra/Metal: 	Clasificar, Triturar, Fusión, Reducir, Modelar

Aceites:		Clasificar, Filtrar, Destilar, Reducir, Crear nuevo producto

Pinturas:		Clasificar, Filtrar, Separar componentes, Crear nuevo producto

Baterías:		Clasificar, Desmontar, Separar componentes, Eliminar Contaminantes

Pilas:			Clasificar, Desmontar, Separar componentes, Neutralizar, Eliminar Contaminantes

Electrónicos:		Clasificar, Desmontar, Triturar, Separar componentes, Tomar metales/plásticos, Reciclar componentes

Medicamentos:		Clasificar, Separar envases, Neutralizar, Tratar residuos líquidos, Enviar a instalación especial

Quimicos Lab:		Recolectar con PRECAUCIÓN, Almacenar, Separar componentes, Incinerar residuos, Enviar a instalación especial 

Residuos Bio:		Recolectar con PRECAUCIÓN, Desinfectar, Eliminar Contaminantes, Enviar a instalación especial


